category,description,address,price,features,addtional_features,url_of_property
Condo / Apartment for rent,L'enquête de crédit est obligatoire,"7460, Rue Valdombre, apt. 12, Montréal (Saint-Léonard)",$850 /month,Lifestyle 4 rooms 1 bedroom 1 bathroom,"1974,2023-04-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/11108534?view=Summary
Condo / Apartment for rent,Un loft propre et éclairé dans un quartier tranquille pour une personne qui est à la recherche d'un lieu calme et propre.,"12, Radcliffe Road, apt. A, Montréal-Ouest",$850 /month,Lifestyle 3 rooms  1 bathroom,2023-05-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-ouest/16344307?view=Summary
Condo / Apartment for rent,"Ce charmant 3 1/2 situé au dernier étage d'un quadruplex à su conserver son charme. Il est situé dans une rue calme et sécuritaire de Tétreaultville. Cet espace sera parfait pour un couple ou une personne seule. Le balcon, attenant à la cuisine donne sur une ruelle. Stationnement facile.","2221, Rue Desmarteau, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",$866 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,"Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/20060234?view=Summary
Condo / Apartment for rent,"Appartement à louer au niveau terrasse. Idéal pour personne seule, ou pour un premier logement. Situé dans un secteur recherché de Lasalle près du boul. Lasalle. Vous serez charmé par l' attrait du secteur, (Piste cyclable sur le fleuve, magnifique parc avec cachet ect.). Accès au train de banlieue a 2 minutes de marché (train passe derrière).L'unité vient avec laveuse sécheuse cuisinière et frigidaire. Faite vite, il ne restera pas longtemps disponible.","86, Rue Maria, apt. A, Montréal (LaSalle)",$850 /month,Lifestyle 5 rooms 1 bedroom in basement 1 bathroom,"Animals not allowed, Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/11862240?view=Summary
Condo / Apartment for rent,"localisation de premier choix !!!! loft meublee avec eletromenagers inclus abordable situee a quelques minutes du metro Langelier,tout les arteres routier,transports ,parc,garderies,epiceries et restaurant,chauffage inclus, ideal pour un pied a terre a Montreal sans avoir besoin de voiture, occupation immediate , enquete credit obligatoire et lettre emplois avant signature de bail","5260A, Avenue De Repentigny, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",$895 /month,Lifestyle 1 room  1 bathroom,"1 sqft,1959,10 days PP/PR Accepted",https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/22269902?view=Summary
Condo / Apartment for rent,"Available as of May 1st, 2023. 2 1/2 studio-bachelor in a very beautiful duplex. Heating, electricity, hot water included. Open-concept with large windows. No pet, non smoker.References + job info + credit check required. It's a studio/bachelor therefore ideal for one person only, must be a very quiet person.","490, Avenue Tremblay, apt. A, Montréal (LaSalle)",$850 /month,Lifestyle 2 rooms 1 bedroom 1 bathroom,2023-05-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/11072948?view=Summary
Condo / Apartment for rent,"Superbe 3½ Meublé, Bachelor de triplex. Très lumineuese. Cuisine avec Porte Patio avec entrée laveuse/secheuse. Grand Salon. Voir inclusions si besoin. Près de tous services.","9164A, Rue Massé, Montréal (Saint-Léonard)",$900 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,"Basement 6 feet or +,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/14398530?view=Summary
Condo / Apartment for rent,"Renovated bachelor apartment with private entrance in highly sought out area of Cote Saint Luc. Includes, heat, hot water, electricity, and kitchen appliances. Modern Kitchen and bathroom. Available July 1st.","5779B, Avenue Melling, Côte-Saint-Luc",$800 /month,Lifestyle 3 rooms 1 bedroom in basement 1 bathroom,"1960,Animals not allowed, Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~cote-saint-luc/27190732?view=Summary
Condo / Apartment for rent,,"2055, Rue Lambert-Closse, apt. 5, Montréal (Ville-Marie), Neighbourhood Central West",$975 /month,Lifestyle 2 rooms 1 bedroom 1 bathroom,"Semi-furnished,2023-05-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/19459590?view=Summary
Condo / Apartment for rent,"Great 1 bedroom apartment in a central area of LaSalle. 2 minutes away from highway 20, Newman street and St-Patrick street. Right next to parks, supermarkets, stores, public transportation. Very good location. Common Laundry room in basement","2459, Avenue Dollard, apt. 2, Montréal (LaSalle)",$965 /month,Lifestyle 4 rooms 1 bedroom 1 bathroom,2023-07-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/23157586?view=Summary
Condo / Apartment for rent,"Large 3 1/2 bachelor located in a great area of LaSalle close to all amenities and transportation. Heating and hot water included. Looking for a quiet, serious tenant with excellent references. The apartment is non-smoking and no pets are allowed.","7949A, Rue Browning, Montréal (LaSalle)",$850 /month,Lifestyle 4 rooms 1 bedroom in basement 1 bathroom,"1969,Basement 6 feet or +, Animals not allowed, Smoking not allowed,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/9771734?view=Summary
Condo / Apartment for rent,"A charming 3 1/2 apartment available for rent in a sector of choice, strategically located near highway 40 and 15, Jarry and Papineau Street. In proximity of restaurants, grocery stores, convenience stores, schools, and parks. Located near Metro Fabre, Bus lines 10 & 193 and near Jean-Talon Hospital. The unit was fully renovated in 2022 with quality materials; new vinyl flooring, a new white lacquered kitchen and countertop & a new bathroom. The apartment welcomes an abundant amount of natural light through its windows and skylight window. Front & rear balcony. Ideally located in an excellent location, an opportunity not to miss!","8076, Rue de Bordeaux, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray","$1,000 /month",Lifestyle 4 rooms 1 bedroom 1 bathroom,2023-05-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/20764701?view=Summary
Condo / Apartment for rent,,"550, Avenue Gonthier, apt. 2, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",$750 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,2023-04-06,https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/19387099?view=Summary
Lot for rent,Nest condo S1 parking space,"1200G, Rue Crescent, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$220 /month,Lifestyle   ,"Residential,3 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/16863368?view=Summary
Loft / Studio for rent,"RESIDENCE FOR PEOPLE 55 AND OVER. Comfortable and safe Loft/Studio style apartment. Heating, electricity, cable, telephone, stove, fridge included in the rental price. The Residence Sault-au-Récollet is located along the Rivière des Prairies, and is easily accessible by public transport. Many services offered and varied and entertaining activities. You can enjoy your independent lifestyle or benefit from assistance in addition to being safe 24/24. Eligible for the tax credit for home support. Several unit models available. VISIT by appointment with me, Mon to Fri; 9 a.m. to 5 p.m.","3295, boulevard Gouin Est, apt. A, Montréal (Montréal-Nord)",$976 /month,Lifestyle 1 room  1 bathroom,5 days PP/PR Accepted,https://www.centris.ca/en/lofts-studios~for-rent~montreal-montreal-nord/19535134?view=Summary
Lot for rent,Garage for rent $250/month,"1050P, Rue Drummond, Montréal (Ville-Marie), Neighbourhood Central West",$250 /month,Lifestyle   ,"Commercial, Residential,According to leases",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/24275668?view=Summary
Lot for rent,1 interior Garage for rent; The Lessee must own a condominium within the building to be able to lease it.,"1050S, Rue Drummond, Montréal (Ville-Marie), Neighbourhood Central West",$250 /month,Lifestyle   ,"Commercial, Residential,According to leases",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/23606996?view=Summary
Condo / Apartment for rent,,"6870, 29e Avenue, apt. 2, Montréal (Rosemont/La Petite-Patrie), Neighbourhood New Rosemont",$750 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,"Animals not allowed, Smoking not allowed,7 days PP/PR Accepted",https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/14963023?view=Summary
Lot for rent,1 interior Garage for rent; The Lessee must own a condominium within the building to be able to lease it.,"1310S, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$225 /month,Lifestyle   ,"Commercial, Residential,According to leases",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/23465177?view=Summary
Lot for rent,Parking spot available for rent in the Lowney 10 building. only for residents of Lowney Phases 8-11,"297S, Rue du Shannon, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",$150 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-le-sud-ouest/10959588?view=Summary
Land for rent,,"1155G, Rue de la Montagne, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$250 /month,Lifestyle   ,"Residential,1 day PP/PR Accepted",https://www.centris.ca/en/land~for-rent~montreal-ville-marie/26435425?view=Summary
Condo / Apartment for rent,,"4879B, Avenue Montclair, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",$915 /month,Lifestyle 4 rooms 1 bedroom 1 bathroom,"Divided,527 sqft,2023-05-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/24788800?view=Summary
Lot for rent,Parking space in SS1 in 1801 rue Viola Desmond (Opus condo),"1801, Rue Viola-Desmond, Montréal (LaSalle)",$150 /month,Lifestyle   ,"Residential,3 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-lasalle/9944911?view=Summary
Condo / Apartment for rent,Nice bachelor apartment 500 square feet heated paid by lanlord. Available asap quite street close to schools and parks. All windows have been changed. Looking for quality tenant. No pets allowed - The tenant will provide a credit cheque at his own expense.,"8380, Rue de Pontmain, apt. A, Montréal (Saint-Léonard)",$850 /month,Lifestyle 3 rooms 1 bedroom in basement 1 bathroom,15 days PP/PR Accepted,https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/18203671?view=Summary
Lot for rent,indoor parking for rent in SS3 #3-15 in the condo tower Union sur le Parc,"2020G, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Central West",$250 /month,Lifestyle   ,"Residential,3 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/18151341?view=Summary
Lot for rent,,"1310Z, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$225 /month,Lifestyle   ,"Residential,3 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/15551761?view=Summary
Lot for rent,"One parking space for lease on 6-month,please contact the listing broker for further details.","1450P, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$275 /month,Lifestyle   ,"160 sqft,Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/15075447?view=Summary
Loft / Studio for rent,Location! Location! Location! Situated steps from Mcgill street and Square Victoria Metro. Unique opportunity to live in a historic building near all the action of the Old Port. Available July 1st.,"704, Rue Notre-Dame Ouest, apt. 404, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia","$1,000 /month",Lifestyle 4 rooms  1 bathroom,"215 sqft,2023-07-01",https://www.centris.ca/en/lofts-studios~for-rent~montreal-ville-marie/16443175?view=Summary
Lot for rent,,"1S, boulevard De Maisonneuve Ouest, Montréal (Ville-Marie), Neighbourhood Central",$220 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/20264999?view=Summary
Condo / Apartment for rent,Please call us for the open house,"7E, 4e Avenue, Montréal (LaSalle)",$875 /month,Lifestyle 3 rooms 1 bedroom 1 bathroom,"1947,2023-06-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/16825650?view=Summary
Lot for rent,,"1700, Rue Viola-Desmond, Montréal (LaSalle)",$150 /month,Lifestyle   ,"Residential,2023-03-01",https://www.centris.ca/en/lots~for-rent~montreal-lasalle/25123143?view=Summary
Condo / Apartment for rent,,"2225, Rue Gold, apt. 4040, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West","$1,000 /month",Lifestyle 1 room  1 bathroom,"2019,2023-02-06",https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/28176187?view=Summary
Condo / Apartment for rent,"**Spacious 3½ Apartment for Rent in St-Leonard**This beautiful 3½ apartment is located in the basement of a triplex on a quiet ""cul-de-sac"" street near Jarry street and all the amenities including including public transportation, parks, shops, and restaurants. The apartment features great luminosity, a spacious bedroom, and a functional kitchen. It is available for fast occupancy, making it a convenient option for those looking to move in quickly. With its prime location and ample space, this apartment is an excellent choice for anyone seeking comfortable and convenient living in St-Leonard. Contact us today to schedule a viewing!","7950A, Rue Malouin, Montréal (Saint-Léonard)","$1,000 /month",Lifestyle 3 rooms 1 bedroom in basement 1 bathroom,"1979,Animals not allowed, Smoking not allowed,2023-04-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/21409640?view=Summary
Lot for rent,"It's one underground parking space only, not land. Place-des- Arts Metro is under the building,walking distance to McGill U,Concordia U,UQAM,Complexe Desjardins,China Town,Place Ville Marie etc. Excellent location in Downtown Montreal.","350S, boulevard De Maisonneuve Ouest, Montréal (Ville-Marie), Neighbourhood Central",$200 /month,Lifestyle   ,"200 sqft,Residential,2023-05-01",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/16890720?view=Summary
Lot for rent,1 parking space in YUL 1 or 1 parking space in YUL 2,"1400S, boulevard René-Lévesque Ouest, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$250 /month,Lifestyle   ,"Residential,Near the REM,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/28313715?view=Summary
Lot for rent,"indoor parking in P2, garage opener","1188S, Rue Saint-Antoine Ouest, Montréal (Ville-Marie), Neighbourhood Central",$300 /month,Lifestyle   ,"Residential,7 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/13226669?view=Summary
Lot for rent,Indoor Parking spot #39.,"1239-S39, Rue Drummond, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",$250 /month,Lifestyle   ,"149 sqft,Residential,3 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/25374182?view=Summary
Loft / Studio for rent,"Newly renovated semi-furnished studio with new kitchen, located within walking distance of Place des Arts metro, La Cité and McGill University. The rent includes Heating, Water taxes, Electricity, References and credit checks are required. No animals. No short-term rental.","3488, Avenue du Parc, apt. 3, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",$860 /month,Lifestyle 1 room 1 bedroom 1 bathroom,"Unknown age,Semi-furnished, Animals not allowed,3 days PP/PR Accepted",https://www.centris.ca/en/lofts-studios~for-rent~montreal-le-plateau-mont-royal/9966398?view=Summary
Condo / Apartment for rent,"Awesome Studio apartment in a nice quiet building near Upper Lachine Road. Stove and fridge and hydro included, no animals, non-smoking.","2054, Avenue Old Orchard, apt. 8, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",$800 /month,Lifestyle 1 room 1 bedroom 1 bathroom,"460 sqft,10 days PP/PR Accepted",https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/24992760?view=Summary
Loft / Studio for rent,"Newly renovated semi-furnished studio with new kitchen, located within walking distance of Place des Arts metro, La Cité and McGill University. The rent includes Heating, Water taxes, Electricity, References and credit checks are required. No animals. No short-term rental.","3488, Avenue du Parc, apt. 6, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",$900 /month,Lifestyle 1 room 1 bedroom 1 bathroom,"Unknown age,Semi-furnished, Animals not allowed,3 days PP/PR Accepted",https://www.centris.ca/en/lofts-studios~for-rent~montreal-le-plateau-mont-royal/27992590?view=Summary
Condo / Apartment for rent,"This recently renovated studio in a quiet and well-maintained building is perfect for a student or a young professional. The appliances included (stove and refrigerator) are new. Pets and smoking are not permitted. Is located within walking distance from Acadie metro and bus stops, a few steps from restaurants, pharmacies, supermarkets and much more. Heating, electricity and hot water are included. Tenants are subject to a full credit/background check to the satisfaction of the lessor prior to signing the lease.Apartment insurance with civil liability insurance is required","7025, Avenue Stuart, apt. 6, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Parc-Extension",$900 /month,Lifestyle 3 rooms  1 bathroom,2023-03-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/15043454?view=Summary
Condo / Apartment for rent,"Located in the west end of Notre-Dame-de-Grâce, this lovely bachelor occupies the basement of a triplex. It has a closed bedroom, a functional kitchen and a bathroom with shower. Close to all services and a few steps from the beautiful Loyola Park, this unit will please a single person or a student.","5408, Avenue O'Bryan, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",$872 /month,Lifestyle 2 rooms 1 bedroom in basement 1 bathroom,"1951,Semi-furnished,According to leases",https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/12743281?view=Summary
Condo / Apartment for rent,"Super bright one bedroom semi-basement facing Sainte-Odile park in the Ahuntsic-Cartierville neighbourhood. This unit has its private entrance! Less than a 15 minute walk from the Sacré-Coeur Montreal Hospital. The monthly rental price includes all appliances (fridge, stove, washer/dryer), electricity, heating and hot water.","12121A, Rue Marsan, Montréal (Ahuntsic-Cartierville), Neighbourhood Cartierville",$925 /month,Lifestyle 5 rooms 1 bedroom in basement 1 bathroom,"1964,Semi-furnished,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/14513750?view=Summary
Condo / Apartment for rent,"2 1/2 basement apartment with a kitchen, a living room/bedroom space and a full bathroom with shower and bath. Well located in a quiet area near public transportation, the riverfront, bike paths and shops to fulfill all your daily needs on Notre-Dame Street E. Available immediately!","550, Avenue Gonthier, apt. 5, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier",$600 /month,Lifestyle 2 rooms  1 bathroom,2023-04-06,https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/9689331?view=Summary
Lot for rent,,"1414S, Rue Chomedey, Montréal (Ville-Marie), Neighbourhood Central West",$200 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/13922428?view=Summary
Lot for rent,,"1288S, Rue Saint-Antoine Ouest, Montréal (Ville-Marie), Neighbourhood Central",$250 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/23450784?view=Summary
Condo / Apartment for rent,"Top floor of a 4 plex building, newly renovated unit, steps away from the river and downtown Verdun. Bicycle path, Daycare centre, Elementary school, High school, Highway, Hospital, Metro, Park, Public transportation, Turtle Wharf Park, St. Lawrence river. Small dogs or cats are accepted.","650, Rue Godin, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",$860 /month,Lifestyle 5 rooms 1 bedroom 1 bathroom,"Divided,700 sqft,2023-07-01",https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/23554000?view=Summary
Loft / Studio for rent,Superbe loft à Montreal dans un beau secteur neuf dans construction récente de 2010. Idéal pour personne recherchant la tranquillité cuisine a air et salon ensemble de bonne dimension. Tout y est de haute qualité laveuse et sécheuse incluse ainsi que l'électricité faut voir!!! Important propriétaire demande personne qualifié.,"11898, Avenue Savard, Montréal (Montréal-Nord)",$975 /month,Lifestyle 4 rooms 1 bedroom in basement 1 bathroom,"Divided,2010,30 days PP/PR Accepted",https://www.centris.ca/en/lofts-studios~for-rent~montreal-montreal-nord/16140751?view=Summary
Lot for rent,Parking for rent in the building #2-027,"1030P, Rue De Bleury, Montréal (Ville-Marie), Neighbourhood Central",$250 /month,Lifestyle   ,"Residential,5 days PP/PR Accepted",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/25084238?view=Summary
Loft / Studio for rent,"This recently renovated studio in a quiet and well-maintained building is perfect for a student or a young professional. The appliances included (stove and refrigerator) are new. Pets and smoking are not permitted. Is located within walking distance from Acadie metro and bus stops, a few steps from restaurants, pharmacies, supermarkets and much more. Heating, electricity and hot water are included. Tenants are subject to a full credit/background check to the satisfaction of the lessor prior to signing the lease.Apartment insurance with civil liability insurance is required","7025, Avenue Stuart, apt. 10, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Parc-Extension",$905 /month,Lifestyle 3 rooms  1 bathroom,2023-03-01,https://www.centris.ca/en/lofts-studios~for-rent~montreal-villeray-saint-michel-parc-extension/23628543?view=Summary
Lot for rent,Parking in P4,"1188A, Rue Saint-Antoine Ouest, Montréal (Ville-Marie), Neighbourhood Central",$200 /month,Lifestyle   ,"Residential,2022-09-01",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/16222341?view=Summary
Lot for rent,Indoor parking with indoor storage.,"315GA05, Rue Villeneuve Est, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",$250 /month,Lifestyle   ,"154 sqft,Residential,Near the REM,30 days PP/PR Accepted",https://www.centris.ca/en/lots~for-sale~montreal-le-plateau-mont-royal/24508976?view=Summary
Condo / Apartment for rent,"Très Grand 4½ fraîchement peint. Hall d'entrée, cuisine et salle de bain en céramique. Immense Cuisine lumineuse avec porte patio. Installations laveuse/sécheuse dans salle de bain. Près des Écoles, Parcs, Transport en commun, commerces et beaucoup plus. Idéale pour couple ou personne seul. beaucoup plus.","6349A, Rue du Val-Marie, Montréal (Saint-Léonard)",$950 /month,Lifestyle 4 rooms 2 bedrooms 1 bathroom,2023-05-01,https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/22035064?view=Summary
Lot for rent,Indoor parking #3-106 in Humaniti condo.available from 1 December 2023.,"1030G, Rue De Bleury, Montréal (Ville-Marie), Neighbourhood Central",$225 /month,Lifestyle   ,"Residential,2023-12-01",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/26299828?view=Summary
Condo / Apartment for rent,,"3990, Rue Jarry Est, apt. 12, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Saint-Michel",$950 /month,Lifestyle 2 rooms  1 bathroom,"Divided,2012,Elevator, Semi-furnished,5 days PP/PR Accepted",https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/24969699?view=Summary
Lot for rent,,"1200G, Rue Saint-Jacques, Montréal (Ville-Marie), Neighbourhood Central",$200 /month,Lifestyle   ,"Residential,2022-10-01",https://www.centris.ca/en/lots~for-rent~montreal-ville-marie/20951492?view=Summary
